session.p_id,session.pilot,session.complete,session.time_started,session.current_time,session.num_restarts,session.language,session.user_info,EDT.q1,EDT.q2,EDT.q3,EDT.q4,EDT.q5,EDT.q6,EDT.q7,EDT.q8,EDT.q9,EDT.q10,EDT.q11,EDT.q12,EDT.q13,EDT.q14,EDT.q15,EDT.q16,EDT.q17,EDT.q18,EDT.ability,EDT.ability_sem,EDT.num_items
6076634907,FALSE,TRUE,28:33.3,30:57.1,0,en,NA,1,1,1,2,1,2,1,1,1,1,2,2,2,2,1,2,2,1,-0.572461086,0.370236933,18
4087459630,FALSE,TRUE,03:45.9,10:24.2,0,en,NA,2,1,2,2,1,2,1,1,1,2,1,2,1,2,2,2,1,1,1.876397804,0.62939965,18
