session.p_id,session.pilot,session.complete,session.time_started,session.current_time,session.num_restarts,session.language,session.user_info,EDT.q1,EDT.q2,EDT.q3,EDT.q4,EDT.q5,EDT.q6,EDT.q7,EDT.q8,EDT.q9,EDT.q10,EDT.q11,EDT.q12,EDT.q13,EDT.q14,EDT.q15,EDT.q16,EDT.q17,EDT.q18,EDT.ability,EDT.ability_sem,EDT.num_items
8576932880,FALSE,TRUE,00:44.2,03:58.4,0,en,NA,1,2,1,1,2,1,1,1,2,2,1,2,2,1,1,1,2,2,-0.280566382,0.348127701,18
6313102340,FALSE,TRUE,43:28.4,46:21.4,0,en,NA,2,1,1,2,2,1,2,2,1,2,2,1,2,1,2,2,2,2,1.38641038,0.402156589,18
2162258088,FALSE,TRUE,28:44.4,32:04.5,0,en,NA,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,1,2,0.763911072,0.342374237,18
6179559604,FALSE,TRUE,37:08.9,40:46.5,0,en,NA,2,2,2,1,1,1,2,2,1,2,2,2,1,1,2,2,1,1,1.555905404,0.372823646,18
5088383764,FALSE,TRUE,59:36.0,02:32.8,0,en,NA,1,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,2,-0.836650773,0.347028871,18
