song,song,second,valence_raw,arousal_raw,valence_filt,arousal_filt,euclidean_dist_mean
stimuli/10_pieceA_anxious_joy_calm,56,28,0.069292423,0.119948556,0.07049833,0.125042652,0.001500049
stimuli/10_pieceA_anxious_joy_calm,57,28.5,0.069868312,0.118030675,0.070328114,0.123552292,0.001327978
stimuli/10_pieceA_anxious_joy_calm,58,29,0.070173792,0.117409942,0.070123039,0.122240244,0.001207087
stimuli/10_pieceA_anxious_joy_calm,59,29.5,0.069767854,0.117146582,0.070119184,0.121033163,0.000895666
stimuli/10_pieceA_anxious_joy_calm,60,30,0.070357824,0.118779097,0.070154086,0.120138177,0.000362897
stimuli/10_pieceA_anxious_joy_calm,61,30.5,0.070747684,0.118594315,0.070231795,0.119783698,0.000200126
stimuli/10_pieceA_anxious_joy_calm,62,31,0.071644617,0.119329866,0.070271708,0.119979803,0.00098602
stimuli/10_pieceA_anxious_joy_calm,63,31.5,0.071992321,0.118537832,0.070251689,0.118993986,0.001135044
stimuli/10_pieceA_anxious_joy_calm,64,32,0.07185514,0.117977951,0.070199933,0.117860123,0.001243171
stimuli/10_pieceA_anxious_joy_calm,65,32.5,0.071406662,0.120483755,0.070132136,0.116618802,0.00130366
stimuli/10_pieceA_anxious_joy_calm,66,33,0.070634865,0.119024705,0.070100862,0.115315517,0.001424235
stimuli/10_pieceA_anxious_joy_calm,67,33.5,0.070189845,0.11750338,0.070042087,0.113892495,0.001486858
stimuli/10_pieceA_anxious_joy_calm,68,34,0.06984424,0.117055037,0.069986029,0.112406694,0.001680296
stimuli/10_pieceA_anxious_joy_calm,69,34.5,0.068412031,0.114291147,0.069922291,0.110727607,0.001816875
stimuli/10_pieceA_anxious_joy_calm,70,35,0.068627009,0.112587289,0.069807848,0.10891434,0.002040819
stimuli/10_pieceA_anxious_joy_calm,71,35.5,0.068744509,0.11090681,0.069757305,0.106874147,0.002040643
stimuli/10_pieceA_anxious_joy_calm,72,36,0.068536854,0.105233423,0.069723755,0.10483378,0.002002265
stimuli/10_pieceA_anxious_joy_calm,73,36.5,0.069597693,0.101824926,0.069731698,0.102831531,0.002114152
stimuli/10_pieceA_anxious_joy_calm,74,37,0.070173529,0.099135083,0.069799997,0.100718483,0.002256328
stimuli/10_pieceA_anxious_joy_calm,75,37.5,0.071178325,0.099899621,0.069888215,0.09846388,0.002235412
stimuli/10_pieceA_anxious_joy_calm,76,38,0.070043069,0.09674277,0.070063797,0.096235374,0.002166788
stimuli/10_pieceA_anxious_joy_calm,77,38.5,0.070301414,0.094980187,0.070370251,0.094090367,0.002121902
stimuli/10_pieceA_anxious_joy_calm,78,39,0.070707974,0.090335063,0.070732531,0.09199962,0.002113065
stimuli/10_pieceA_anxious_joy_calm,79,39.5,0.070661934,0.086541047,0.0710811,0.089915503,0.002014782
stimuli/10_pieceA_anxious_joy_calm,80,40,0.071021959,0.085191372,0.071370087,0.087921554,0.00185128
stimuli/10_pieceA_anxious_joy_calm,81,40.5,0.07142275,0.084005375,0.071687156,0.086097628,0.001633339
stimuli/10_pieceA_anxious_joy_calm,82,41,0.07126244,0.081584319,0.072076279,0.084511318,0.00131919
stimuli/10_pieceA_anxious_joy_calm,83,41.5,0.07002757,0.07942068,0.072470603,0.083252441,0.00114054
stimuli/10_pieceA_anxious_joy_calm,84,42,0.071796254,0.079338577,0.072864238,0.082181982,0.000935774
stimuli/10_pieceA_anxious_joy_calm,85,42.5,0.072554028,0.077569368,0.073278389,0.081342844,0.000811668
stimuli/10_pieceA_anxious_joy_calm,86,43,0.075117435,0.079156577,0.073676402,0.080635461,0.000648135
stimuli/10_pieceA_anxious_joy_calm,87,43.5,0.075936967,0.080012103,0.074059062,0.080112345,0.000492568
stimuli/10_pieceA_anxious_joy_calm,88,44,0.076075243,0.08117006,0.074383954,0.079742117,0.000303829
stimuli/10_pieceA_anxious_joy_calm,89,44.5,0.075815733,0.080938889,0.074632257,0.079567024,0.000211869
stimuli/10_pieceA_anxious_joy_calm,90,45,0.075761825,0.08076815,0.074839915,0.079524993,0.000192844
stimuli/10_pieceA_anxious_joy_calm,91,45.5,0.076195181,0.080771968,0.075021383,0.079459739,0.000174889
stimuli/10_pieceA_anxious_joy_calm,92,46,0.074977122,0.08125448,0.075195279,0.07944113,0.000141449
stimuli/10_pieceA_anxious_joy_calm,93,46.5,0.076063427,0.083990979,0.075336559,0.07943422,0.00011048
stimuli/10_pieceA_anxious_joy_calm,94,47,0.076291543,0.084585466,0.075436521,0.079387172,0.00015647
stimuli/10_pieceA_anxious_joy_calm,95,47.5,0.07524351,0.082661433,0.075566671,0.079300317,0.000231138
stimuli/10_pieceA_anxious_joy_calm,96,48,0.075929972,0.078621593,0.075590714,0.079070433,0.000295005
stimuli/10_pieceA_anxious_joy_calm,97,48.5,0.075538459,0.077929121,0.075677502,0.078788483,0.000288869
stimuli/10_pieceA_anxious_joy_calm,98,49,0.075011399,0.079888991,0.075853626,0.078559516,0.000310399
stimuli/10_pieceA_anxious_joy_calm,99,49.5,0.074522703,0.078475608,0.076022684,0.078299195,0.000817219
