"","Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Public.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.fj4d","Manipulation..Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Context","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Image","Spreadsheet..Audio","Spreadsheet..randomise_block","Spreadsheet..gloomy_rating","Spreadsheet..upset_rating","Spreadsheet..scared_rating","Spreadsheet..sad_rating","Spreadsheet..anxious_rating","Spreadsheet..happy_rating","Spreadsheet..satisfied_rating","Spreadsheet..excited_rating","Spreadsheet..joyful_rating","Spreadsheet..relaxed_rating","Store..progress","Store..progress_practice"
"140","841",1766167933539,"19/12/2025 18:12:13",1766167933539,-6,"19/12/2025 12:12:13",169297,29,"task-6dig","repeat-xtpj#1",51535545,"674c9df1e01bfe1baae76974",14784550,NA,"complete",NA,"69458e2fec5dee77dff78a25","computer","Desktop or Laptop","Windows 10","Chrome 142.0.0.0","1536x864","1536x864",NA,NA,0,"rating-task",17,"Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,1399494,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
"141","841",1766169843520,"19/12/2025 18:44:03",1766169843520,-6,"19/12/2025 12:44:03",169297,29,"task-6dig","repeat-xtpj#1",51536806,"674cb1e5dd135ab435dece3f",14784787,NA,"complete",NA,"6945935069272565b1378d5c","computer","Desktop or Laptop","Windows 10","Chrome 143.0.0.0","1920x1080","1920x1080",NA,NA,0,"rating-task",17,"Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,2209888,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
"142","841",1766167245744,"19/12/2025 18:00:45",1766167245744,-5,"19/12/2025 13:00:45",169297,29,"task-6dig","repeat-xtpj#1",51534941,"674f97fef70c3dd15d138c3e",14784461,NA,"complete",NA,"69458cc20fb0b185861abd2d","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 139.0.0.0","1512x982","1512x823",NA,NA,0,"rating-task",17,"Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,1154683,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
"143","842",1766170182632,"19/12/2025 18:49:42",1766170182632,-5,"19/12/2025 13:49:42",169297,29,"task-6dig","repeat-xtpj#1",51537955,"6754212bee2fa6f30842fb86",14784561,NA,"complete",NA,"69458e73b78254200f9d846c","computer","Desktop or Laptop","Windows 10","Chrome 141.0.0.0","1536x864","767x730",NA,NA,0,"rating-task",17,"Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,1292495,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
"144","843",1766172360882,"19/12/2025 19:26:00",1766172360882,-6,"19/12/2025 13:26:00",169297,29,"task-6dig","repeat-xtpj#1",51539062,"6754246c81ce61cb6ffe887f",14785075,NA,"complete",NA,"69459d8c6bd0834fb98e1c56","computer","Desktop or Laptop","Windows 10","Chrome 141.0.0.0","1366x768","1366x768",NA,NA,0,"rating-task",17,"Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,1563149,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
"145","844",1766169504231,"19/12/2025 18:38:24",1766169504231,-5,"19/12/2025 13:38:24",169297,29,"task-6dig","repeat-xtpj#1",51536759,"675a2ef45fbe0cc52b8403ae",14784763,NA,"complete",NA,"69459289fdec8f340f2bf263","computer","Desktop or Laptop","Windows 10","Chrome 134.0.0.0","1280x720","1280x593",NA,NA,0,"rating-task",17,"Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,1906460,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
"146","839",1766172194754,"19/12/2025 19:23:14",1766172194754,-5,"19/12/2025 14:23:14",169297,29,"task-6dig","repeat-xtpj#1",51538519,"675b6bf5887bccb7fad6c44d",14785027,NA,"complete",NA,"69459c4474275206061f942c","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1536x864","1536x730",NA,NA,0,"rating-task",17,"Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,2293596,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
"147","846",1766173434682,"19/12/2025 19:43:54",1766173434682,-6,"19/12/2025 13:43:54",169297,29,"task-6dig","repeat-xtpj#1",51538997,"675b6faf10ae4b79d1d6455e",14784897,NA,"complete",NA,"6945960f1e3492111829a9e4","computer","Desktop or Laptop","Windows 10","Chrome 143.0.0.0","1707x960","1920x948",NA,NA,0,"rating-task",17,"Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,2541489,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
"148","839",1766167343113,"19/12/2025 18:02:23",1766167343113,-5,"19/12/2025 13:02:23",169297,29,"task-6dig","repeat-xtpj#1",51535049,"675df96b5f9fce8b022ec062",14784526,NA,"complete",NA,"69458db57c7f5d1689a7c802","computer","Desktop or Laptop","Windows 10","Chrome 143.0.0.0","2560x1440","2560x1279",NA,NA,0,"rating-task",17,"Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,1183581,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
"149","841",1766169088966,"19/12/2025 18:31:28",1766169088966,-5,"19/12/2025 13:31:28",169297,29,"task-6dig","repeat-xtpj#1",51536568,"6760853e178af224e611e496",14784746,NA,"complete",NA,"6945910928ff13f6ad50d2fa","computer","Desktop or Laptop","Windows 10","Chrome 143.0.0.0","1920x1080","1920x1080",NA,NA,0,"rating-task",17,"Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,1712312,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
"150","842",1766166880748,"19/12/2025 17:54:40",1766166880748,-5,"19/12/2025 12:54:40",169297,29,"task-6dig","repeat-xtpj#1",51534700,"6761134a283b8ace0b1e0345",14784473,NA,"complete",NA,"69458d13160f58db7c1a4345","computer","Desktop or Laptop","Windows 10","Edge 143.0.0.0","1366x768","1358x636",NA,NA,0,"rating-task",17,"Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,955283,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
"151","840",1766169469389,"19/12/2025 18:37:49",1766169469389,-5,"19/12/2025 13:37:49",169297,29,"task-6dig","repeat-xtpj#2",51537755,"67624c835727c93b1676104a",14784928,NA,"complete",NA,"69459769e9666088fcc84165","computer","Desktop or Laptop","Windows 10","Chrome 143.0.0.0","1920x1080","1920x957",NA,NA,0,"rating-task",17,"Incorrect~Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,820632,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
"152","843",1766170140375,"19/12/2025 18:49:00",1766170140375,-6,"19/12/2025 12:49:00",169297,29,"task-6dig","repeat-xtpj#1",51536148,"676334ae578dda6ef33f5886",14784612,NA,"complete",NA,"69458ea42645a9c15644175c","computer","Desktop or Laptop","Windows 10","Chrome 143.0.0.0","1920x1080","1920x945",NA,NA,0,"rating-task",17,"Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,3091618,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
"153","838",1766173692194,"19/12/2025 19:48:12",1766173692194,-5,"19/12/2025 14:48:12",169297,29,"task-6dig","repeat-xtpj#2",51538709,"6766ddcb03bbfa66fafb36a8",14785057,NA,"complete",NA,"69459c056b4b16ed2a96d643","computer","Desktop or Laptop","Windows 10","Edge 143.0.0.0","1920x1080","1912x874",NA,NA,0,"rating-task",17,"Incorrect~Correct","Spreadsheet","",NA,"","","",NA,"info","END",NA,NA,NA,3497407,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","","","",NA,"","","","","","","","","","",NA,NA
