"","pos2_anger_1","sad2_anger_1","sad8_anger_1","sad1_anger_1","happy7_anger_1","happy10_anger_1","happy1_anger_1","pos3_anger_1","pos2_disgust_1","sad2_disgust_1","sad8_disgust_1","sad1_disgust_1","happy7_disgust_1","happy10_disgust_1","happy1_disgust_1","pos3_disgust_1","pos2_sadness_1","sad2_sadness_1","sad8_sadness_1","sad1_sadness_1","happy7_sadness_1","happy10_sadness_1","happy1_sadness_1","pos3_sadness_1","pos2_scared_1","sad2_scared_1","sad8_scared_1","sad1_scared_1","happy7_scared_1","happy10_scared_1","happy1_scared_1","pos3_scared_1","pos2_upset_1","sad2_upset_1","sad8_upset_1","sad1_upset_1","happy7_upset_1","happy10_upset_1","happy1_upset_1","pos3_upset_1"
"108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,73,70,9,0,0,0,0,0,10,40,0,15,14,0,0,19,0,30,0,0,0,0
"110",0,5,0,0,0,6,27,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,40,0,0,25,0,0,0,15,58,0
"111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116",0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,60,0,0
"117",0,84,0,81,0,0,0,0,0,100,0,61,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,87,72,0,0,0,0
"118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119",0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"120",4,5,3,9,3,3,5,3,10,5,6,27,7,5,5,2,9,7,35,34,66,5,5,8,8,6,4,21,9,6,6,6,9,5,11,14,5,6,5,6
"121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,30,25,0,0,0,0,0,15,0,5,0,0,0,0,0,10,0,0,0,0,0,0
