Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,EarlyExitButtonText,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,3
1,1721064152008,15/07/2024 17:22:32,1721064152186,-4,15/07/2024 13:22:32,169297,9,task-t8eh,,38981789,TEAM_YA_031,11429980,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,,,,Task: Browser sound check,2,Spreadsheet1,,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1721064156415,15/07/2024 17:22:36,1721064156648,-4,15/07/2024 13:22:36,169297,9,task-t8eh,,38981789,TEAM_YA_031,11429980,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1519x738,,,,Task: Browser sound check,2,Spreadsheet1,,Spreadsheet1,1,1,1,Screen 3,advancementZone,continue_button,2878.7000000029802,,,,,0,1,0,,,,,,Intro,
3,1721064159717,15/07/2024 17:22:39,1721064159949,-4,15/07/2024 13:22:39,169297,9,task-t8eh,,38981789,TEAM_YA_031,11429980,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1519x738,,,,Task: Browser sound check,2,Spreadsheet1,,Spreadsheet1,1,1,2,Screen 4,buttonA,response_button_text,3286.4000000059605,,,yes,1,1,0,0,,,,,,Intro,
4,1721064160709,15/07/2024 17:22:40,1721064160934,-4,15/07/2024 13:22:40,169297,9,task-t8eh,,38981789,TEAM_YA_031,11429980,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1519x738,,,,Task: Browser sound check,2,Spreadsheet1,,Spreadsheet1,1,1,4,continue,Zone2,timelimit_screen,1000,,,,,0,1,0,,,1,,,Intro,
5,1721064162739,15/07/2024 17:22:42,1721064162983,-4,15/07/2024 13:22:42,169297,9,task-t8eh,,38981789,TEAM_YA_031,11429980,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1519x738,,,,Task: Browser sound check,2,Spreadsheet1,,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,1932.9000000059605,,,,,0,1,0,,,,,,end,
6,1721064162829,15/07/2024 17:22:42,1721064162986,-4,15/07/2024 13:22:42,169297,9,task-t8eh,,38981789,TEAM_YA_031,11429980,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1519x738,,,,Task: Browser sound check,2,Spreadsheet1,,,,END TASK,,,,,10800,,,,,0,1,0,,,,,,,
END OF FILE
