Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response,branch-fj4d
2,1746555334780,"06/05/2025, 18:15:34",1746555333920,-4,"06/05/2025, 14:15:33",169297,28,questionnaire-tyvb,,45909178,35503,13359454,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 132.0.0.0,1366x768,1366x681,,consent_loui,3,No,consent-yes,1,Correct
3,1746555335008,"06/05/2025, 18:15:35",1746555333923,-4,"06/05/2025, 14:15:33",169297,28,questionnaire-tyvb,,45909178,35503,13359454,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 132.0.0.0,1366x768,1366x681,,consent_loui,3,No,END QUESTIONNAIRE,63687,Correct
﻿1,1746556656853,"06/05/2025, 18:37:36",1746556657602,-4,"06/05/2025, 14:37:37",169297,28,questionnaire-tyvb,,45909855,35725,13359615,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 118.0.0.0,1707x1067,1666x911,,consent_loui,3,No,BEGIN QUESTIONNAIRE,,Correct
2,1746556702078,"06/05/2025, 18:38:22",1746556702856,-4,"06/05/2025, 14:38:22",169297,28,questionnaire-tyvb,,45909855,35725,13359615,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 118.0.0.0,1707x1067,1651x911,,consent_loui,3,No,consent-yes,1,Correct
3,1746556702246,"06/05/2025, 18:38:22",1746556702857,-4,"06/05/2025, 14:38:22",169297,28,questionnaire-tyvb,,45909855,35725,13359615,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 118.0.0.0,1707x1067,1651x911,,consent_loui,3,No,END QUESTIONNAIRE,45255,Correct
﻿1,1746566386101,"06/05/2025, 21:19:46",1746566385887,-7,"06/05/2025, 14:19:45",169297,28,questionnaire-tyvb,,45914245,35593,13360780,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1329x747,,consent_loui,3,No,BEGIN QUESTIONNAIRE,,Incorrect~Incorrect~Correct
2,1746566388910,"06/05/2025, 21:19:48",1746566388737,-7,"06/05/2025, 14:19:48",169297,28,questionnaire-tyvb,,45914245,35593,13360780,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1329x747,,consent_loui,3,No,consent-yes,1,Incorrect~Incorrect~Correct
3,1746566389124,"06/05/2025, 21:19:49",1746566388738,-7,"06/05/2025, 14:19:48",169297,28,questionnaire-tyvb,,45914245,35593,13360780,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1329x747,,consent_loui,3,No,END QUESTIONNAIRE,2851,Incorrect~Incorrect~Correct
﻿1,1746574693084,"06/05/2025, 23:38:13",1746574693649,-4,"06/05/2025, 19:38:13",169297,28,questionnaire-tyvb,,45915785,35518,13361151,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1280x720,1280x585,,consent_loui,3,No,BEGIN QUESTIONNAIRE,,Incorrect~Correct
2,1746574703680,"06/05/2025, 23:38:23",1746574704268,-4,"06/05/2025, 19:38:24",169297,28,questionnaire-tyvb,,45915785,35518,13361151,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1280x720,1265x585,,consent_loui,3,No,consent-yes,1,Incorrect~Correct
3,1746574703803,"06/05/2025, 23:38:23",1746574704273,-4,"06/05/2025, 19:38:24",169297,28,questionnaire-tyvb,,45915785,35518,13361151,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1280x720,1265x585,,consent_loui,3,No,END QUESTIONNAIRE,10624,Incorrect~Correct
﻿1,1746653747301,"07/05/2025, 21:35:47",1746653747142,-4,"07/05/2025, 17:35:47",169297,28,questionnaire-tyvb,,45967918,35560,13372679,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1710x1107,1710x869,,consent_loui,3,No,BEGIN QUESTIONNAIRE,,Correct
2,1746653819938,"07/05/2025, 21:36:59",1746653819684,-4,"07/05/2025, 17:36:59",169297,28,questionnaire-tyvb,,45967918,35560,13372679,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1710x1107,1710x947,,consent_loui,3,No,consent-yes,1,Correct
3,1746653820181,"07/05/2025, 21:37:00",1746653819685,-4,"07/05/2025, 17:36:59",169297,28,questionnaire-tyvb,,45967918,35560,13372679,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1710x1107,1710x947,,consent_loui,3,No,END QUESTIONNAIRE,72543,Correct
﻿1,1746666672193,"08/05/2025, 01:11:12",1746666686604,-6,"07/05/2025, 19:11:26",169297,28,questionnaire-tyvb,,45970034,35467,13373916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1536x1024,1536x855,,consent_loui,3,No,BEGIN QUESTIONNAIRE,,Incorrect~Correct
2,1746666677812,"08/05/2025, 01:11:17",1746666692404,-6,"07/05/2025, 19:11:32",169297,28,questionnaire-tyvb,,45970034,35467,13373916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1536x1024,1521x855,,consent_loui,3,No,consent-yes,1,Incorrect~Correct
3,1746666678158,"08/05/2025, 01:11:18",1746666692405,-6,"07/05/2025, 19:11:32",169297,28,questionnaire-tyvb,,45970034,35467,13373916,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1536x1024,1521x855,,consent_loui,3,No,END QUESTIONNAIRE,5802,Incorrect~Correct
﻿1,1746727410164,"08/05/2025, 18:03:30",1746727410694,-4,"08/05/2025, 14:03:30",169297,28,questionnaire-tyvb,,45997905,35839,13380528,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,2560x1440,2552x1314,,consent_loui,3,No,BEGIN QUESTIONNAIRE,,Incorrect~Correct
2,1746727482954,"08/05/2025, 18:04:42",1746727483490,-4,"08/05/2025, 14:04:43",169297,28,questionnaire-tyvb,,45997905,35839,13380528,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,2560x1440,2537x1314,,consent_loui,3,No,consent-yes,1,Incorrect~Correct
3,1746727483105,"08/05/2025, 18:04:43",1746727483491,-4,"08/05/2025, 14:04:43",169297,28,questionnaire-tyvb,,45997905,35839,13380528,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,2560x1440,2537x1314,,consent_loui,3,No,END QUESTIONNAIRE,72797,Incorrect~Correct
﻿1,1746812766779,"09/05/2025, 17:46:06",1746812766500,-4,"09/05/2025, 13:46:06",169297,28,questionnaire-tyvb,,46028469,36154,13388579,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 135.0.0.0,1366x768,1366x599,,consent_loui,3,No,BEGIN QUESTIONNAIRE,,Correct
2,1746812848265,"09/05/2025, 17:47:28",1746812847741,-4,"09/05/2025, 13:47:27",169297,28,questionnaire-tyvb,,46028469,36154,13388579,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 135.0.0.0,1366x768,1366x599,,consent_loui,3,No,consent-yes,1,Correct
3,1746812848397,"09/05/2025, 17:47:28",1746812847745,-4,"09/05/2025, 13:47:27",169297,28,questionnaire-tyvb,,46028469,36154,13388579,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 135.0.0.0,1366x768,1366x599,,consent_loui,3,No,END QUESTIONNAIRE,81245,Correct
﻿1,1747001211287,"11/05/2025, 22:06:51",1747001211078,-4,"11/05/2025, 18:06:51",169297,28,questionnaire-tyvb,,46072565,35584,13398253,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1728x1117,1728x992,,consent_loui,3,No,BEGIN QUESTIONNAIRE,,Correct
2,1747001213614,"11/05/2025, 22:06:53",1747001213472,-4,"11/05/2025, 18:06:53",169297,28,questionnaire-tyvb,,46072565,35584,13398253,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1728x1117,1728x992,,consent_loui,3,No,consent-yes,1,Correct
3,1747001213733,"11/05/2025, 22:06:53",1747001213472,-4,"11/05/2025, 18:06:53",169297,28,questionnaire-tyvb,,46072565,35584,13398253,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1728x1117,1728x992,,consent_loui,3,No,END QUESTIONNAIRE,2394,Correct
﻿1,1747008856168,"12/05/2025, 00:14:16",1747008855980,-4,"11/05/2025, 20:14:15",169297,28,questionnaire-tyvb,,46073547,36031,13398458,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1024x1366,1366x917,,consent_loui,3,No,BEGIN QUESTIONNAIRE,,Correct
2,1747008862978,"12/05/2025, 00:14:22",1747008862824,-4,"11/05/2025, 20:14:22",169297,28,questionnaire-tyvb,,46073547,36031,13398458,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1024x1366,1366x917,,consent_loui,3,No,consent-yes,1,Correct
3,1747008863165,"12/05/2025, 00:14:23",1747008862826,-4,"11/05/2025, 20:14:22",169297,28,questionnaire-tyvb,,46073547,36031,13398458,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1024x1366,1366x917,,consent_loui,3,No,END QUESTIONNAIRE,6846,Correct
