Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-fj4d,Spreadsheet,EarlyExitButtonText,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,3
2,1746813248681,"09/05/2025, 17:54:08",1746813248203,-4,"09/05/2025, 13:54:08",169297,28,task-quo2,,46028506,36154,13388579,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 135.0.0.0,1366x768,1366x599,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,1,1,1,Screen 3,advancementZone,continue_button,397381.2999999998,,,,0,,,,,,,,Intro,
3,1746813252344,"09/05/2025, 17:54:12",1746813252112,-4,"09/05/2025, 13:54:12",169297,28,task-quo2,,46028506,36154,13388579,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 135.0.0.0,1366x768,1366x599,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,1,1,2,Screen 4,buttonA,response_button_text,3875.7999999998137,,,yes,1,1,,,,,,,Intro,
4,1746813253305,"09/05/2025, 17:54:13",1746813253093,-4,"09/05/2025, 13:54:13",169297,28,task-quo2,,46028506,36154,13388579,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 135.0.0.0,1366x768,1366x599,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,1,1,4,continue,Zone2,timelimit_screen,999.6000000000349,,,,0,,,,,1,,,Intro,
5,1746813258803,"09/05/2025, 17:54:18",1746813258326,-4,"09/05/2025, 13:54:18",169297,28,task-quo2,,46028506,36154,13388579,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 135.0.0.0,1366x768,1366x599,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,5170.299999999814,,,,0,,,,,,,,end,
6,1746813258904,"09/05/2025, 17:54:18",1746813258335,-4,"09/05/2025, 13:54:18",169297,28,task-quo2,,46028506,36154,13388579,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 135.0.0.0,1366x768,1366x599,,Task: Browser sound check,2,Correct,Spreadsheet1,,,,END TASK,,,,,408050,,,,,,,,,,,,,
﻿1,1747001215015,"11/05/2025, 22:06:55",1747001214829,-4,"11/05/2025, 18:06:54",169297,28,task-quo2,,46072566,35584,13398253,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1728x1117,1728x992,,Task: Browser sound check,2,Correct,Spreadsheet1,,,,BEGIN TASK,,,,,,,,,,,,,,,,,,
2,1747001218849,"11/05/2025, 22:06:58",1747001218712,-4,"11/05/2025, 18:06:58",169297,28,task-quo2,,46072566,35584,13398253,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1728x1117,1728x992,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,1,1,1,Screen 3,advancementZone,continue_button,2765.6000003814697,,,,0,,,,,,,,Intro,
3,1747001220100,"11/05/2025, 22:07:00",1747001219966,-4,"11/05/2025, 18:06:59",169297,28,task-quo2,,46072566,35584,13398253,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1728x1117,1728x992,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,1,1,2,Screen 4,buttonA,response_button_text,1247.6999998092651,,,yes,1,1,,,,,,,Intro,
4,1747001221133,"11/05/2025, 22:07:01",1747001220968,-4,"11/05/2025, 18:07:00",169297,28,task-quo2,,46072566,35584,13398253,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1728x1117,1728x992,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,1,1,4,continue,Zone2,timelimit_screen,1004.1000000000004,,,,0,,,,,1,,,Intro,
5,1747001223194,"11/05/2025, 22:07:03",1747001223070,-4,"11/05/2025, 18:07:03",169297,28,task-quo2,,46072566,35584,13398253,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1728x1117,1728x992,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,2038,,,,0,,,,,,,,end,
6,1747001223295,"11/05/2025, 22:07:03",1747001223072,-4,"11/05/2025, 18:07:03",169297,28,task-quo2,,46072566,35584,13398253,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1728x1117,1728x992,,Task: Browser sound check,2,Correct,Spreadsheet1,,,,END TASK,,,,,8243,,,,,,,,,,,,,
﻿1,1747008864746,"12/05/2025, 00:14:24",1747008864545,-4,"11/05/2025, 20:14:24",169297,28,task-quo2,,46073548,36031,13398458,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1024x1366,1366x917,,Task: Browser sound check,2,Correct,Spreadsheet1,,,,BEGIN TASK,,,,,,,,,,,,,,,,,,
2,1747008873522,"12/05/2025, 00:14:33",1747008873334,-4,"11/05/2025, 20:14:33",169297,28,task-quo2,,46073548,36031,13398458,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1024x1366,1366x917,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,1,1,1,Screen 3,advancementZone,continue_button,8137,,,,0,,,,,,,,Intro,
3,1747008875672,"12/05/2025, 00:14:35",1747008875515,-4,"11/05/2025, 20:14:35",169297,28,task-quo2,,46073548,36031,13398458,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1024x1366,1366x917,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,1,1,2,Screen 4,buttonA,response_button_text,2167.999999999998,,,yes,1,1,,,,,,,Intro,
4,1747008876670,"12/05/2025, 00:14:36",1747008876507,-4,"11/05/2025, 20:14:36",169297,28,task-quo2,,46073548,36031,13398458,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1024x1366,1366x917,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,1,1,4,continue,Zone2,timelimit_screen,1001,,,,0,,,,,1,,,Intro,
5,1747008886103,"12/05/2025, 00:14:46",1747008885940,-4,"11/05/2025, 20:14:45",169297,28,task-quo2,,46073548,36031,13398458,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1024x1366,1366x917,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,9407.999999999998,,,,0,,,,,,,,end,
6,1747008886262,"12/05/2025, 00:14:46",1747008885943,-4,"11/05/2025, 20:14:45",169297,28,task-quo2,,46073548,36031,13398458,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1024x1366,1366x917,,Task: Browser sound check,2,Correct,Spreadsheet1,,,,END TASK,,,,,21398,,,,,,,,,,,,,
