"","ID","negmusicICC","posmusicICC","negpicICC","pospicICC","negICC","posICC","allmusicICC","allpicICC"
"1","546ec14dfdf99b2bc7ebd032",-1.8472470542089,-1.63973559131188,-1.91187410891005,-1.33475735971335,-1.85079699644262,-1.44532588928162,-1.74349132276039,-1.6233157343117
"2","559347f6fdf99b790feb6435",-0.883217702894895,-1.18892719490708,-1.24104195246608,-1.34954536059271,-0.971241332020741,-1.3989684889173,-1.03607244890099,-1.2952936565294
"3","55b249bdfdf99b28e3c14b05",-0.196312712771772,0,-0.684848320254009,-4.91249673008114,-0.704321788775401,-4.73353670167616,-0.098156356385886,-2.79867252516758
"4","55bb9ae7fdf99b26d27fda01",-0.692573962764802,-0.852601209257964,-1.86963935981291,-1.44273816069836,-1.35304557460222,-1.19048068813745,-0.772587586011383,-1.65618876025563
"5","564e93659b124900127eb55b",-1.41765436726787,-1.77645241380496,-1.86012338438705,-2.56908540952738,-1.70483444863941,-2.07192894673636,-1.59705339053642,-2.21460439695721
"6","56588a127d69570012dfe00a",-1.06759127601674,-0.253868363821113,-1.51169905335422,-1.12447571873059,-1.30862989112709,-0.969514488172279,-0.660729819918925,-1.3180873860424
"7","56d39b96da2aaa000dab6178",-1.19583234287743,-1.66720575034847,-2.50607161186954,-1.64386777062054,-1.71569796551151,-1.64331022205615,-1.43151904661295,-2.07496969124504
"8","56e6a66af6ed900006a5867c",-0.810986051456279,-0.805825405456123,-1.63819820430196,-1.41699637835635,-1.45880199536023,-1.18349043138849,-0.808405728456201,-1.52759729132916
"9","57656f6c2bfddf000125cce5",-0.0368156503312176,0,-1.79498620003263,-1.46103608811869,-1.11335044170315,-1.23276731305388,-0.0184078251656088,-1.62801114407566
"10","57dd186e6598aa0001992616",-0.767788115826389,-0.474354898036366,-1.64979777218737,-1.2010593349289,-1.31973497700821,-0.976785247828014,-0.621071506931377,-1.42542855355814
"11","580cab86b869700001d71628",-0.345319727563525,0,-1.43551803692372,-0.936223964639556,-0.96742179442199,-0.512692284330796,-0.172659863781763,-1.18587100078164
"12","58f90ebc3f4fef000199e2fd",-0.639774379468663,-0.244684188682869,-1.17286922966445,-1.51879555931022,-0.876904780374998,-1.2710488758604,-0.442229284075766,-1.34583239448733
"13","597761dfd5ddf60001d14b20",-0.843970642472515,-1.15683462601885,-1.28919451878798,-1.57888295567553,-1.10451394524988,-1.37794705490821,-1.00040263424568,-1.43403873723175
"14","5981b8259c83ca00012bddcb",-0.465652096835935,-0.929953447477476,-1.01813562289698,-1.94814368481662,-0.723225927238982,-1.60819386566769,-0.697802772156705,-1.4831396538568
"15","59948cbdcf1d1700016efa45",-0.50604927709308,-1.4142262774288,-1.58903241340602,-1.66189329948723,-1.06366605570625,-1.5350143542601,-0.960137777260939,-1.62546285644662
"16","59f22a9fd6380600018b2929",-0.588182501200506,-0.185651188173666,-0.736001082938209,-1.87918972706415,-0.761358305972006,-1.84549164367213,-0.386916844687086,-1.30759540500118
"17","5a443812817d1800018d1179",-0.865215394351512,-1.59628817607348,-0.936582314763347,-1.91584280494101,-0.851088458271233,-1.72150957388741,-1.2307517852125,-1.42621255985218
"18","5b9efb73d1ff7a00013bfe84",-1.11820166098288,-0.0465951256574331,-1.6778200280602,-0.257184292921167,-1.41663783594374,-0.140286019613609,-0.582398393320155,-0.967502160490685
"19","5bb10d4288f88d0001f3d151",-0.920943888258312,-0.84503544093982,-2.35234736796968,-1.82887320165214,-1.93074861582854,-1.41801049790919,-0.882989664599066,-2.09061028481091
"20","5bbf523d83f9790001ce549a",-0.848856702705092,-1.14087290092328,-1.90866778937004,-1.71339295554521,-1.49453092055317,-1.42592816875341,-0.994864801814183,-1.81103037245763
"21","5bf408f7f35e0c000101693a",-0.200163607636434,-1.2494818549692,-2.3862302299674,-2.17874885676558,-1.74286826656298,-1.70229900855448,-0.724822731302818,-2.28248954336649
"22","5c1655c7ad682500017070d2",-1.23838028585697,-0.722268110122304,-1.43973787961014,-1.67340248226741,-1.46826470333522,-1.36680817665214,-0.980324197989637,-1.55657018093877
"23","5c37aa8b832a8400010983b3",-1.22950645641138,-0.938062715619564,-1.21015239480137,-1.4232139724672,-1.235642522094,-1.2276973655682,-1.08378458601547,-1.31668318363428
"24","5c4723041fba0b0001fca7c3",-0.980655579167036,-1.36873150646909,-1.82902284125035,-2.16552048149469,-1.37313361841599,-1.87879856289285,-1.17469354281806,-1.99727166137252
"25","5ca3ccae7958d0001689df68",-1.76815771909017,-1.55547434156606,-1.31919898450929,-1.9590039660479,-1.49831721899282,-1.74597032725552,-1.66181603032811,-1.63910147527859
"26","5d0d16d991270800010b7dd7",-0.986208787349558,-1.23120195605206,-1.39254961792747,-1.493413431931,-1.16814660176285,-1.34968706926355,-1.10870537170081,-1.44298152492924
"27","5d1acc6eb0c5a8001786de55",-0.243793220787616,-0.529658763328104,-1.14803480850604,-1.39759050170627,-0.744046836340401,-1.03450233311458,-0.38672599205786,-1.27281265510616
"28","5d697ea28572fc000126b779",-1.20881286544064,-0.909090909219044,-1.17848831171102,-1.41979471183447,-1.17363712263817,-1.19376921086364,-1.05895188732984,-1.29914151177275
"29","5d9d2e421af9ed0011c31894",-0.410137405192548,-0.826097409648546,-1.34464661516052,-1.46148744278653,-1.3350721428615,-1.20864385454713,-0.618117407420547,-1.40306702897352
"30","5db0a97f127d4000117cdfa0",-1.24102047545974,-1.18861185123897,-1.88364154712351,-1.7444317607941,-1.43745168341246,-1.62669279496582,-1.21481616334936,-1.8140366539588
"31","5e42f74f5b772a18434cabf7",-0.342446776104116,-0.665960928623459,-1.31734594502066,-1.15747001882548,-1.00589697473431,-0.948524796451249,-0.504203852363787,-1.23740798192307
"32","5e4e844553bc702cdf68404d",-1.04037056633363,-1.25553958225755,-1.48473912710032,-1.81542796891896,-1.28964900038407,-1.54551440885335,-1.14795507429559,-1.65008354800964
"33","5e954b384491ad117052cd48",-0.684701116208393,-0.577621983017891,-1.58521304049054,-1.77364550715347,-1.1695063370314,-1.43542681213183,-0.631161549613142,-1.67942927382201
"34","5e9a2251a69f690b9cc31ede",-1.53698681381079,-1.16653149803746,-1.83038104660295,-1.79266865694421,-1.66792569487606,-1.49532054084104,-1.35175915592412,-1.81152485177358
"35","5ecd78784dc5af0d97078c8b",-0.774710245663981,-0.121939832332209,-0.846742508896681,-0.959522811129604,-0.95861682185722,-0.59875970714079,-0.448325038998095,-0.903132660013143
"36","5ed9c3054268815691ed0e2c",-1.13777241503579,-1.51069310173075,-1.84259842744752,-1.92950166537353,-1.48947048981633,-1.73574049054649,-1.32423275838327,-1.88605004641052
"37","5ef3e3c01ece121907ee721a",-0.409874817796506,-0.675599616739972,-1.05309645474457,-0.901507701332784,-1.0360639067607,-0.820131053349415,-0.542737217268239,-0.977302078038675
