Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-fj4d,Manipulation: Spreadsheet,Manipulation: correctAnswerCount,Manipulation: EarlyExitButtonText,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,stimuli,ShowProgressBar
1,1766159924638,19/12/2025 15:58:44,1766159924225,-5,19/12/2025 10:58:44,169297,29,task-cusq,repeat-xtpj#1,51527988,682c3f62f2680e9a67130379,14783598,,complete,,6945759d8d2aed5bf583e031,computer,Desktop or Laptop,Windows 10,Chrome 141.0.0.0,1366x768,1280x593,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,,,BEGIN TASK,,,,,,,,,,,,,,,,,,,,
2,1766159932618,19/12/2025 15:58:52,1766159932238,-5,19/12/2025 10:58:52,169297,29,task-cusq,repeat-xtpj#1,51527988,682c3f62f2680e9a67130379,14783598,,complete,,6945759d8d2aed5bf583e031,computer,Desktop or Laptop,Windows 10,Chrome 141.0.0.0,1366x768,1280x593,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,1,Screen 5,Zone1,continue_button,3932,,,,0,0,,,,,,,Instructions,,,
3,1766159933793,19/12/2025 15:58:53,1766159933437,-5,19/12/2025 10:58:53,169297,29,task-cusq,repeat-xtpj#1,51527988,682c3f62f2680e9a67130379,14783598,,complete,,6945759d8d2aed5bf583e031,computer,Desktop or Laptop,Windows 10,Chrome 141.0.0.0,1366x768,1280x593,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,2,Screen 2,Zone1,content_web_audio,1190.300000011921,,,AUDIO PLAY REQUESTED,1,0,,,,,,,Instructions,,,
4,1766159938484,19/12/2025 15:58:58,1766159938124,-5,19/12/2025 10:58:58,169297,29,task-cusq,repeat-xtpj#1,51527988,682c3f62f2680e9a67130379,14783598,,complete,,6945759d8d2aed5bf583e031,computer,Desktop or Laptop,Windows 10,Chrome 141.0.0.0,1366x768,1280x593,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,2,Screen 2,script,force_advance,5894.5,,,,0,0,,,,,,,Instructions,,,
5,1766159942039,19/12/2025 15:59:02,1766159941578,-5,19/12/2025 10:59:01,169297,29,task-cusq,repeat-xtpj#1,51527988,682c3f62f2680e9a67130379,14783598,,complete,,6945759d8d2aed5bf583e031,computer,Desktop or Laptop,Windows 10,Chrome 141.0.0.0,1366x768,1280x720,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,3,Screen 1,Zone2,content_web_audio,3384.0999999940395,,,AUDIO PLAY REQUESTED,1,0,,,,,,,Instructions,,,
6,1766159947940,19/12/2025 15:59:07,1766159947582,-5,19/12/2025 10:59:07,169297,29,task-cusq,repeat-xtpj#1,51527988,682c3f62f2680e9a67130379,14783598,,complete,,6945759d8d2aed5bf583e031,computer,Desktop or Laptop,Windows 10,Chrome 141.0.0.0,1366x768,1280x720,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,3,Screen 1,Zone2,content_web_audio,9387.800000011921,,,,0,0,,,,,,,Instructions,,,
7,1766159950643,19/12/2025 15:59:10,1766159950277,-5,19/12/2025 10:59:10,169297,29,task-cusq,repeat-xtpj#1,51527988,682c3f62f2680e9a67130379,14783598,,complete,,6945759d8d2aed5bf583e031,computer,Desktop or Laptop,Windows 10,Chrome 141.0.0.0,1366x768,1280x720,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,4,Screen 6,Zone1,continue_button,2686.4000000059605,,,,0,0,,,,,,,Instructions,,,
8,1766159957813,19/12/2025 15:59:17,1766159957456,-5,19/12/2025 10:59:17,169297,29,task-cusq,repeat-xtpj#1,51527988,682c3f62f2680e9a67130379,14783598,,complete,,6945759d8d2aed5bf583e031,computer,Desktop or Laptop,Windows 10,Chrome 141.0.0.0,1366x768,1280x720,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,5,Screen 3,Zone1,continue_button,7167.200000017881,,,,0,0,,,,,,,Instructions,,,
9,1766159958817,19/12/2025 15:59:18,1766159958447,-5,19/12/2025 10:59:18,169297,29,task-cusq,repeat-xtpj#1,51527988,682c3f62f2680e9a67130379,14783598,,complete,,6945759d8d2aed5bf583e031,computer,Desktop or Laptop,Windows 10,Chrome 141.0.0.0,1366x768,1280x720,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,11,1,1,Screen 3,Zone3,timelimit_screen,999.1999999999971,,,,0,0,,,,1,,1,Trial,2,HugginsPitch_10_2.flac,1
10,1766159959119,19/12/2025 15:59:19,1766159958453,-5,19/12/2025 10:59:18,169297,29,task-cusq,repeat-xtpj#1,51527988,682c3f62f2680e9a67130379,14783598,,complete,,6945759d8d2aed5bf583e031,computer,Desktop or Laptop,Windows 10,Chrome 141.0.0.0,1366x768,1280x720,,,,Headphone Screen using Huggins' Pitch,2,Correct,Spreadsheet1,correctAnswerCount,,Spreadsheet1,11,1,2,Screen 1,content,content_web_audio,0.699999988079071,,,AUDIO PLAY REQUESTED,1,0,,,,,,1,Trial,2,HugginsPitch_10_2.flac,1
