Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: randomise_block,Spreadsheet: emotion_rating,Spreadsheet: randomise_trial,Spreadsheet: emotion,Spreadsheet: Audio,Spreadsheet: angry_rating,Spreadsheet: disgusted_rating,Spreadsheet: scared_rating,Spreadsheet: sad_rating,Spreadsheet: anxious_rating,Spreadsheet: happy_rating,Spreadsheet: proud_rating,Spreadsheet: excited_rating,Spreadsheet: joyful_rating,Spreadsheet: satisfied_rating,Manipulation: Spreadsheet
1,1721064167674,15/07/2024 17:22:47,1721049767674,-4,15/07/2024 09:22:47,169297,9,task-6dig,,38981793,TEAM_YA_031,11429980,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,,,0,rating-task,9,Spreadsheet,Spreadsheet,,,,,,info,START SUBSYSTEM base.component.audioSubsystem,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1721064177538,15/07/2024 17:22:57,1721049777538,-4,15/07/2024 09:22:57,169297,9,task-6dig,,38981793,TEAM_YA_031,11429980,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,,,0,rating-task,9,Spreadsheet,Spreadsheet,,,,,,info,SUBSYSTEM READY base.component.audioSubsystem,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1721064177557,15/07/2024 17:22:57,1721049777557,-4,15/07/2024 09:22:57,169297,9,task-6dig,,38981793,TEAM_YA_031,11429980,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,,,0,rating-task,9,Spreadsheet,Spreadsheet,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1721064187966,15/07/2024 17:23:07,1721049787966,-4,15/07/2024 09:23:07,169297,9,task-6dig,,38981793,TEAM_YA_031,11429980,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,,,0,rating-task,9,Spreadsheet,Spreadsheet,1,Instructions,Screen 1,per9qq,1,continue,,9333.399999999996,9316.699999999999,9333.399999999996,9333.399999999996,9316.699999999999,9333.399999999996,1,9333.399999999996,0,0,,Click To Continue,Continue Button,2,object-4,Instructions,,,,,,,,,,,,,,,,,
5,1721064190917,15/07/2024 17:23:10,1721049790917,-4,15/07/2024 09:23:10,169297,9,task-6dig,,38981793,TEAM_YA_031,11429980,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,,,0,rating-task,9,Spreadsheet,Spreadsheet,1,Fixation_Image_Practice,Screen 1,pli4rm,1,continue,,2966.5,2966.5,2966.5,2966.5,2966.5,2966.5,1,2966.5,0,0,,Fixation Timing,Fixation Cross,1,object-67,Fixation_Image_Practice,Coffee 1.jpg,,,,,,,,,,,,,,,,
6,1721064198922,15/07/2024 17:23:18,1721049798922,-4,15/07/2024 09:23:18,169297,9,task-6dig,,38981793,TEAM_YA_031,11429980,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,,,0,rating-task,9,Spreadsheet,Spreadsheet,1,Fixation_Image_Practice,Screen 2,g2ouef,2,timedOut,,0,0,0,8007.299999991061,8000.200000000004,8007.299999991061,1,0,0,0,,Time Limit,screen,0,screen,Fixation_Image_Practice,Coffee 1.jpg,,,,,,,,,,,,,,,,
7,1721064198938,15/07/2024 17:23:18,1721049798938,-4,15/07/2024 09:23:18,169297,9,task-6dig,,38981793,TEAM_YA_031,11429980,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,,,0,rating-task,9,Spreadsheet,Spreadsheet,1,Ratings_Practice,Screen 1,smykl5,1,info,,16.60000000000582,0,16.60000000000582,16.60000000000582,0,16.60000000000582,1,16.60000000000582,0,0,,Slider,Anxious Slider,3,object-118,Ratings_Practice,Coffee 1.jpg,,,,,,angry,,,,anxious,,,excited,,satisfied,
8,1721064198939,15/07/2024 17:23:18,1721049798939,-4,15/07/2024 09:23:18,169297,9,task-6dig,,38981793,TEAM_YA_031,11429980,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,,,0,rating-task,9,Spreadsheet,Spreadsheet,1,Ratings_Practice,Screen 1,smykl5,1,info,,16.60000000000582,0,16.60000000000582,16.60000000000582,0,16.60000000000582,1,16.60000000000582,0,0,,Slider,Satisfied Slider,5,object-120,Ratings_Practice,Coffee 1.jpg,,,,,,angry,,,,anxious,,,excited,,satisfied,
9,1721064198940,15/07/2024 17:23:18,1721049798940,-4,15/07/2024 09:23:18,169297,9,task-6dig,,38981793,TEAM_YA_031,11429980,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,,,0,rating-task,9,Spreadsheet,Spreadsheet,1,Ratings_Practice,Screen 1,smykl5,1,info,,16.60000000000582,0,16.60000000000582,16.60000000000582,0,16.60000000000582,1,16.60000000000582,0,0,,Slider,Angry Slider,7,object-122,Ratings_Practice,Coffee 1.jpg,,,,,,angry,,,,anxious,,,excited,,satisfied,
10,1721064198940,15/07/2024 17:23:18,1721049798940,-4,15/07/2024 09:23:18,169297,9,task-6dig,,38981793,TEAM_YA_031,11429980,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,,,0,rating-task,9,Spreadsheet,Spreadsheet,1,Ratings_Practice,Screen 1,smykl5,1,info,,16.60000000000582,0,16.60000000000582,16.60000000000582,0,16.60000000000582,1,16.60000000000582,0,0,,Slider,Excited Slider,9,object-124,Ratings_Practice,Coffee 1.jpg,,,,,,angry,,,,anxious,,,excited,,satisfied,
11,1721064217353,15/07/2024 17:23:37,1721049817353,-4,15/07/2024 09:23:37,169297,9,task-6dig,,38981793,TEAM_YA_031,11429980,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,,,0,rating-task,9,Spreadsheet,Spreadsheet,1,Ratings_Practice,Screen 1,smykl5,1,continue,,18433.499999997017,18417,18433.499999997017,18433.499999997017,18417,18433.499999997017,1,18433.499999997017,0,0,,Click To Continue,Continue,10,object-125,Ratings_Practice,Coffee 1.jpg,,,,,,angry,,,,anxious,,,excited,,satisfied,
12,1721064217357,15/07/2024 17:23:37,1721049817357,-4,15/07/2024 09:23:37,169297,9,task-6dig,,38981793,TEAM_YA_031,11429980,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,,,0,rating-task,9,Spreadsheet,Spreadsheet,1,Ratings_Practice,Screen 1,smykl5,1,response,0,4016.5999999999985,18417,18433.700000000004,4016.5999999999985,18417,18433.700000000004,1,4016.5999999999985,14417.100000000006,0,,Slider,Anxious Slider,3,object-118,Ratings_Practice,Coffee 1.jpg,,,,,,angry,,,,anxious,,,excited,,satisfied,
