Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-fj4d,Manipulation: Spreadsheet,Manipulation: EarlyExitButtonText,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,3
1,1766159871162,19/12/2025 15:57:51,1766159870777,-5,19/12/2025 10:57:50,169297,29,task-quo2,,51527932,682c3f62f2680e9a67130379,14783598,,complete,,6945759d8d2aed5bf583e031,computer,Desktop or Laptop,Windows 10,Chrome 141.0.0.0,1366x768,1280x593,,,,Task: Browser sound check,2,Correct,Spreadsheet1,,,,BEGIN TASK,,,,,,,,,,,,,,,,,,NaN
2,1766159890644,19/12/2025 15:58:10,1766159890268,-5,19/12/2025 10:58:10,169297,29,task-quo2,,51527932,682c3f62f2680e9a67130379,14783598,,complete,,6945759d8d2aed5bf583e031,computer,Desktop or Laptop,Windows 10,Chrome 141.0.0.0,1366x768,1280x593,,,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,1,1,1,Screen 3,advancementZone,continue_button,15560.299999982119,,,,0,0,,,,,,,Intro,NaN
3,1766159893246,19/12/2025 15:58:13,1766159892562,-5,19/12/2025 10:58:12,169297,29,task-quo2,,51527932,682c3f62f2680e9a67130379,14783598,,complete,,6945759d8d2aed5bf583e031,computer,Desktop or Laptop,Windows 10,Chrome 141.0.0.0,1366x768,1280x593,,,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,1,1,2,Screen 4,buttonA,response_button_text,2277.5999999940395,,,yes,1,1,,,,,,,Intro,NaN
4,1766159893905,19/12/2025 15:58:13,1766159893558,-5,19/12/2025 10:58:13,169297,29,task-quo2,,51527932,682c3f62f2680e9a67130379,14783598,,complete,,6945759d8d2aed5bf583e031,computer,Desktop or Laptop,Windows 10,Chrome 141.0.0.0,1366x768,1280x593,,,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,1,1,4,continue,Zone2,timelimit_screen,999.0999999999985,,,,0,0,,,,1,,,Intro,NaN
5,1766159897998,19/12/2025 15:58:17,1766159897643,-5,19/12/2025 10:58:17,169297,29,task-quo2,,51527932,682c3f62f2680e9a67130379,14783598,,complete,,6945759d8d2aed5bf583e031,computer,Desktop or Laptop,Windows 10,Chrome 141.0.0.0,1366x768,1280x593,,,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,3792,,,,0,0,,,,,,,end,NaN
6,1766159898330,19/12/2025 15:58:18,1766159897654,-5,19/12/2025 10:58:17,169297,29,task-quo2,,51527932,682c3f62f2680e9a67130379,14783598,,complete,,6945759d8d2aed5bf583e031,computer,Desktop or Laptop,Windows 10,Chrome 141.0.0.0,1366x768,1280x593,,,,Task: Browser sound check,2,Correct,Spreadsheet1,,,,END TASK,,,,,26877,,,,,,,,,,,,,NaN
1,1766165666143,19/12/2025 17:34:26,1766165666019,-6,19/12/2025 11:34:26,169297,29,task-quo2,,51534311,62a889993e01c9e01ee7066e,14784435,,complete,,69458c92850ce8798a57b02e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1680x1050,1680x962,,,,Task: Browser sound check,2,Correct,Spreadsheet1,,,,BEGIN TASK,,,,,,,,,,,,,,,,,,NaN
2,1766165669313,19/12/2025 17:34:29,1766165669200,-6,19/12/2025 11:34:29,169297,29,task-quo2,,51534311,62a889993e01c9e01ee7066e,14784435,,complete,,69458c92850ce8798a57b02e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1680x1050,1680x962,,,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,1,1,1,Screen 3,advancementZone,continue_button,1844.0999999046326,,,,0,0,,,,,,,Intro,NaN
3,1766165670659,19/12/2025 17:34:30,1766165670568,-6,19/12/2025 11:34:30,169297,29,task-quo2,,51534311,62a889993e01c9e01ee7066e,14784435,,complete,,69458c92850ce8798a57b02e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1680x1050,1680x962,,,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,1,1,2,Screen 4,buttonA,response_button_text,1355.3000001907349,,,yes,1,1,,,,,,,Intro,NaN
4,1766165671659,19/12/2025 17:34:31,1766165671552,-6,19/12/2025 11:34:31,169297,29,task-quo2,,51534311,62a889993e01c9e01ee7066e,14784435,,complete,,69458c92850ce8798a57b02e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1680x1050,1680x962,,,,Task: Browser sound check,2,Correct,Spreadsheet1,,Spreadsheet1,1,1,4,continue,Zone2,timelimit_screen,999.3999999999996,,,,0,0,,,,1,,,Intro,NaN
