"","song","song.1","second","valence_raw","arousal_raw","valence_filt","arousal_filt","euclidean_dist_mean","start_time"
"397","stimuli/11_pieceA_calm_anxious_sad",157,78.5,-0.049452548,-0.011906653,-0.048530642,-0.010976895,0.000495157,NA
"398","stimuli/11_pieceA_calm_anxious_sad",158,79,-0.050108905,-0.010719832,-0.048448988,-0.010488517,0.000486711,NA
"399","stimuli/11_pieceA_calm_anxious_sad",159,79.5,-0.049154471,-0.009716175,-0.048350819,-0.010011809,0.000463798,NA
"400","stimuli/11_pieceA_calm_anxious_sad",160,80,-0.049533668,-0.008141731,-0.048341248,-0.00954811,0.000413976,NA
"401","stimuli/11_pieceA_calm_anxious_sad",161,80.5,-0.049214296,-0.008343771,-0.048427201,-0.009143155,0.000452126,NA
"402","stimuli/11_pieceA_calm_anxious_sad",162,81,-0.04930239,-0.008219207,-0.048642906,-0.008745802,0.000527279,NA
"403","stimuli/11_pieceA_calm_anxious_sad",163,81.5,-0.050161274,-0.008311468,-0.048973686,-0.008335183,0.000580096,NA
"404","stimuli/11_pieceA_calm_anxious_sad",164,82,-0.051143662,-0.008539739,-0.049406219,-0.007948626,0.00071438,NA
"405","stimuli/11_pieceA_calm_anxious_sad",165,82.5,-0.051745045,-0.008340746,-0.049985279,-0.007530262,0.000860264,NA
"406","stimuli/11_pieceA_calm_anxious_sad",166,83,-0.052012147,-0.009007986,-0.050709938,-0.007066663,0.000955051,NA
"407","stimuli/11_pieceA_calm_anxious_sad",167,83.5,-0.051851429,-0.009071934,-0.05152394,-0.006567141,0.000977837,NA
"408","stimuli/11_pieceA_calm_anxious_sad",168,84,-0.05243677,-0.010137466,-0.052347304,-0.006039659,0.001031982,NA
"409","stimuli/11_pieceA_calm_anxious_sad",169,84.5,-0.049334143,-0.004596895,-0.053197667,-0.005454962,0.000967808,NA
"410","stimuli/11_pieceA_calm_anxious_sad",170,85,-0.049897558,-0.005056707,-0.054012601,-0.004932914,0.001034821,NA
"411","stimuli/11_pieceA_calm_anxious_sad",171,85.5,-0.051570987,-0.004432166,-0.054901998,-0.004403926,0.001108127,NA
"412","stimuli/11_pieceA_calm_anxious_sad",172,86,-0.052873885,-0.004535808,-0.055859224,-0.003845657,0.001153094,NA
"413","stimuli/11_pieceA_calm_anxious_sad",173,86.5,-0.054966536,-0.005032397,-0.056861552,-0.0032756,0.001080928,NA
"414","stimuli/11_pieceA_calm_anxious_sad",174,87,-0.05759834,-0.005096059,-0.057812021,-0.002760804,0.002603871,NA
"415","stimuli/11_pieceA_calm_anxious_sad",175,87.5,-0.060389804,-0.004201477,-0.058772457,-0.000340534,0.001722603,NA
"700","stimuli/12_pieceA_joyous_sad_anxious",220,110,-0.002124731,-0.019433205,-0.000691789,-0.020804674,0.001086382,NA
"701","stimuli/12_pieceA_joyous_sad_anxious",221,110.5,-0.002989011,-0.018506908,-0.001721393,-0.021151287,0.001188209,NA
"702","stimuli/12_pieceA_joyous_sad_anxious",222,111,-0.003052712,-0.019425433,-0.002861266,-0.021486741,0.001273581,NA
