"","Participant.Public.ID","Response","Object.Name","Spreadsheet..Audio"
"58","TEAM_YA_029",28,"Proud Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"59","TEAM_YA_029",9,"Scared Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"60","TEAM_YA_029",23,"Joyful Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"61","240712CPAR",15,"Anxious Slider","5_pieceB_calm_sad_anxious_7.mp3"
"62","240712CPAR",96,"Satisfied Slider","5_pieceB_calm_sad_anxious_7.mp3"
"63","240712CPAR",0,"Angry Slider","5_pieceB_calm_sad_anxious_7.mp3"
"64","240712CPAR",70,"Excited Slider","5_pieceB_calm_sad_anxious_7.mp3"
"65","240712CPAR",89,"Happy Slider","5_pieceB_calm_sad_anxious_7.mp3"
"66","240712CPAR",4,"Disgusted Slider","5_pieceB_calm_sad_anxious_7.mp3"
"67","240712CPAR",0,"Sad Slider","5_pieceB_calm_sad_anxious_7.mp3"
"68","240712CPAR",52,"Proud Slider","5_pieceB_calm_sad_anxious_7.mp3"
"69","240712CPAR",0,"Scared Slider","5_pieceB_calm_sad_anxious_7.mp3"
"70","240712CPAR",92,"Joyful Slider","5_pieceB_calm_sad_anxious_7.mp3"
"71","240712CPAR",7,"Anxious Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"72","240712CPAR",50,"Satisfied Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"73","240712CPAR",2,"Angry Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"74","240712CPAR",1,"Excited Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"75","240712CPAR",30,"Happy Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"76","240712CPAR",3,"Disgusted Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"77","240712CPAR",63,"Sad Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"78","240712CPAR",23,"Proud Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"79","240712CPAR",1,"Scared Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"80","240712CPAR",18,"Joyful Slider","12_pieceA_joyous_sad_anxious_2.mp3"
"81","240712CPAR",26,"Anxious Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"82","240712CPAR",59,"Satisfied Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"83","240712CPAR",9,"Angry Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"84","240712CPAR",3,"Excited Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"85","240712CPAR",3,"Happy Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"86","240712CPAR",7,"Disgusted Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"87","240712CPAR",94,"Sad Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"88","240712CPAR",46,"Proud Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"89","240712CPAR",4,"Scared Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"90","240712CPAR",5,"Joyful Slider","12_pieceA_joyous_sad_anxious_3.mp3"
"91","240712CPAR",10,"Anxious Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"92","240712CPAR",8,"Satisfied Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"93","240712CPAR",7,"Angry Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"94","240712CPAR",10,"Excited Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"95","240712CPAR",6,"Happy Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"96","240712CPAR",7,"Disgusted Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"97","240712CPAR",54,"Sad Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"98","240712CPAR",6,"Proud Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"99","240712CPAR",11,"Scared Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"100","240712CPAR",8,"Joyful Slider","12_pieceA_joyous_sad_anxious_9.mp3"
"101","240712CPAR",13,"Anxious Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"102","240712CPAR",26,"Satisfied Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"103","240712CPAR",1,"Angry Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"104","240712CPAR",93,"Excited Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"105","240712CPAR",86,"Happy Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"106","240712CPAR",3,"Disgusted Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"107","240712CPAR",1,"Sad Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"108","240712CPAR",67,"Proud Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"109","240712CPAR",5,"Scared Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"110","240712CPAR",84,"Joyful Slider","6_pieceB_anxious_calm_joyous_5.mp3"
"111","240712CPAR",62,"Anxious Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"112","240712CPAR",48,"Satisfied Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"113","240712CPAR",7,"Angry Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"114","240712CPAR",30,"Excited Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"115","240712CPAR",49,"Happy Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"116","240712CPAR",12,"Disgusted Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"117","240712CPAR",6,"Sad Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"118","240712CPAR",9,"Proud Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"119","240712CPAR",27,"Scared Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"120","240712CPAR",51,"Joyful Slider","6_pieceB_anxious_calm_joyous_7.mp3"
"121","TEAM_YA_031",5,"Anxious Slider","5_pieceB_calm_sad_anxious_7.mp3"
"122","TEAM_YA_031",62,"Satisfied Slider","5_pieceB_calm_sad_anxious_7.mp3"
"123","TEAM_YA_031",2,"Angry Slider","5_pieceB_calm_sad_anxious_7.mp3"
"124","TEAM_YA_031",11,"Excited Slider","5_pieceB_calm_sad_anxious_7.mp3"
"125","TEAM_YA_031",65,"Happy Slider","5_pieceB_calm_sad_anxious_7.mp3"
"126","TEAM_YA_031",6,"Disgusted Slider","5_pieceB_calm_sad_anxious_7.mp3"
"127","TEAM_YA_031",31,"Sad Slider","5_pieceB_calm_sad_anxious_7.mp3"
"128","TEAM_YA_031",12,"Proud Slider","5_pieceB_calm_sad_anxious_7.mp3"
"129","TEAM_YA_031",8,"Scared Slider","5_pieceB_calm_sad_anxious_7.mp3"
