"","Participant.Public.ID","happy","satisfied","excited","joyful","relaxed","stim","condition"
"1","TEAM_YA_045",0,0,0,0,0,"Destruction 2.jpg","pic"
"2","TEAM_YA_045",0,0,0,0,7,"Rocks 1.jpg","pic"
"3","TEAM_YA_045",8,2,0,1,12,"Beach 1.jpg","pic"
"4","TEAM_YA_045",0,0,0,0,0,"Flood 1.jpg","pic"
"5","TEAM_YA_045",33,0,0,0,43,"Toilet 4.jpg","pic"
"6","TEAM_YA_045",0,0,0,0,76,"Dirt 1.jpg","pic"
"7","TEAM_YA_045",36,0,37,30,82,"Fireworks 6.jpg","pic"
"8","TEAM_YA_045",0,0,0,0,0,"Prison 2.jpg","pic"
"9","TEAM_YA_045",15,0,0,10,50,"Snow 1.jpg","pic"
"10","TEAM_YA_045",6,0,15,6,14,"Clean 1.jpg","pic"
"11","TEAM_YA_045",36,15,12,23,30,"Rainbow 2.jpg","pic"
"12","TEAM_YA_045",11,11,0,0,22,"Lake 12.jpg","pic"
"13","TEAM_YA_045",7,0,0,0,6,"Heart 3.jpg","pic"
"14","TEAM_YA_045",0,0,0,0,0,"Fire 10.jpg","pic"
"15","TEAM_YA_045",9,0,8,20,0,"Ferret 1.jpg","pic"
"16","TEAM_YA_045",0,0,0,0,18,"Garbage dump 1.jpg","pic"
"17","TEAM_YA_028",52,1,35,67,18,"Fireworks 6.jpg","pic"
"18","TEAM_YA_028",1,5,0,0,0,"Flood 1.jpg","pic"
"19","TEAM_YA_028",1,0,0,0,1,"Destruction 2.jpg","pic"
"20","TEAM_YA_028",0,2,1,1,1,"Fire 10.jpg","pic"
"21","TEAM_YA_028",65,96,4,67,96,"Rainbow 2.jpg","pic"
"22","TEAM_YA_028",0,1,0,0,0,"Prison 2.jpg","pic"
"23","TEAM_YA_028",71,85,29,58,88,"Clean 1.jpg","pic"
"24","TEAM_YA_028",76,99,46,99,99,"Lake 12.jpg","pic"
"25","TEAM_YA_028",67,85,49,90,81,"Heart 3.jpg","pic"
"26","TEAM_YA_028",0,0,0,1,15,"Garbage dump 1.jpg","pic"
"27","TEAM_YA_028",0,0,0,0,0,"Dirt 1.jpg","pic"
"28","TEAM_YA_028",0,0,1,0,0,"Snow 1.jpg","pic"
"29","TEAM_YA_028",39,82,11,42,89,"Rocks 1.jpg","pic"
"30","TEAM_YA_028",70,96,76,91,88,"Beach 1.jpg","pic"
"31","TEAM_YA_028",5,0,22,1,1,"Ferret 1.jpg","pic"
"32","TEAM_YA_028",0,0,0,0,0,"Toilet 4.jpg","pic"
"33","TEAM_YA_049",42,32,0,18,51,"Heart 3.jpg","pic"
"34","TEAM_YA_049",37,71,1,45,96,"Snow 1.jpg","pic"
"35","TEAM_YA_049",48,66,47,68,51,"Beach 1.jpg","pic"
"36","TEAM_YA_049",7,0,1,3,1,"Destruction 2.jpg","pic"
"37","TEAM_YA_049",4,2,4,3,1,"Prison 2.jpg","pic"
"38","TEAM_YA_049",5,21,8,0,5,"Dirt 1.jpg","pic"
"39","TEAM_YA_049",0,7,2,8,2,"Flood 1.jpg","pic"
"40","TEAM_YA_049",15,38,60,35,5,"Fire 10.jpg","pic"
"41","TEAM_YA_049",66,99,53,55,87,"Clean 1.jpg","pic"
"42","TEAM_YA_049",79,64,23,70,28,"Rainbow 2.jpg","pic"
"43","TEAM_YA_049",13,12,24,1,6,"Toilet 4.jpg","pic"
"44","TEAM_YA_049",18,22,19,16,20,"Rocks 1.jpg","pic"
"45","TEAM_YA_049",73,94,72,64,55,"Lake 12.jpg","pic"
"46","TEAM_YA_049",12,8,7,12,3,"Garbage dump 1.jpg","pic"
"47","TEAM_YA_049",8,12,2,2,9,"Ferret 1.jpg","pic"
"48","TEAM_YA_049",89,92,88,97,14,"Fireworks 6.jpg","pic"
"49","TEAM_YA_053",7,7,0,1,10,"Garbage dump 1.jpg","pic"
"50","TEAM_YA_053",0,1,0,0,0,"Destruction 2.jpg","pic"
"51","TEAM_YA_053",2,0,1,0,3,"Fire 10.jpg","pic"
"52","TEAM_YA_053",53,33,6,10,57,"Clean 1.jpg","pic"
"53","TEAM_YA_053",0,0,0,1,48,"Flood 1.jpg","pic"
"54","TEAM_YA_053",0,6,0,0,2,"Prison 2.jpg","pic"
"55","TEAM_YA_053",70,77,23,56,85,"Heart 3.jpg","pic"
"56","TEAM_YA_053",0,0,0,2,14,"Toilet 4.jpg","pic"
"57","TEAM_YA_053",62,45,77,71,49,"Fireworks 6.jpg","pic"
"58","TEAM_YA_053",76,96,64,74,44,"Rainbow 2.jpg","pic"
"59","TEAM_YA_053",0,4,5,0,19,"Ferret 1.jpg","pic"
"60","TEAM_YA_053",88,98,36,67,98,"Lake 12.jpg","pic"
"61","TEAM_YA_053",5,2,10,2,60,"Dirt 1.jpg","pic"
