Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-fj4d,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Audio,Spreadsheet: randomise_block,Spreadsheet: gloomy_rating,Spreadsheet: upset_rating,Spreadsheet: scared_rating,Spreadsheet: sad_rating,Spreadsheet: anxious_rating,Spreadsheet: happy_rating,Spreadsheet: satisfied_rating,Spreadsheet: excited_rating,Spreadsheet: joyful_rating,Spreadsheet: relaxed_rating,Manipulation: Spreadsheet,Store: progress,Store: progress_practice
1,1730143037421,28/10/2024 19:17:17,1730128637421,-4,28/10/2024 11:17:17,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,,,,,,info,START SUBSYSTEM base.component.audioSubsystem,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1730143048581,28/10/2024 19:17:28,1730128648581,-4,28/10/2024 11:17:28,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,,,,,,info,SUBSYSTEM READY base.component.audioSubsystem,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
3,1730143048587,28/10/2024 19:17:28,1730128648587,-4,28/10/2024 11:17:28,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
4,1730143050381,28/10/2024 19:17:30,1730128650381,-4,28/10/2024 11:17:30,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,1,Instructions,General Instructions,xkcf3q,1,continue,,1709.399999982119,1703.2000000000007,1709.399999982119,1709.399999982119,1703.2000000000007,1709.399999982119,1,1709.399999982119,0,0,,Click To Continue,Continue Button,2,object-206,Instructions,,,,,,,,,,,,,,,,
5,1730143111026,28/10/2024 19:18:31,1730128711026,-4,28/10/2024 11:18:31,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,1,Instructions,Task Instructions,per9qq,2,continue,,60651.19999998212,60634.700000000004,60651.19999998212,60651.19999998212,60634.700000000004,60651.19999998212,1,60651.19999998212,0,0,,Click To Continue,Continue Button,2,object-4,Instructions,,,,,,,,,,,,,,,,
6,1730143113983,28/10/2024 19:18:33,1730128713983,-4,28/10/2024 11:18:33,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,1,Fixation_Image_Practice,Fixation Cross,pli4rm,1,continue,,2972.699999999997,2972.699999999997,2972.699999999997,2972.699999999997,2972.699999999997,2972.699999999997,1,2972.699999999997,0,0,,Fixation Timing,Fixation Cross,1,object-67,Fixation_Image_Practice,Coffee 1.jpg,,,,,,,,,,,,,,,
7,1730143121980,28/10/2024 19:18:41,1730128721980,-4,28/10/2024 11:18:41,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,1,Fixation_Image_Practice,Practice Image,g2ouef,2,timedOut,,0,0,0,7998.5999999940395,7998.100000000006,7998.5999999940395,1,0,0,0,,Time Limit,screen,0,screen,Fixation_Image_Practice,Coffee 1.jpg,,,,,,,,,,,,,,,
8,1730143121988,28/10/2024 19:18:41,1730128721988,-4,28/10/2024 11:18:41,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,1,Ratings_Practice,Practice Ratings,smykl5,1,info,,8.499999994033715,0,8.499999994033715,8.499999994033715,0,8.499999994033715,1,8.499999994033715,0,0,,Slider,Anxious Slider,3,object-182,Ratings_Practice,Coffee 1.jpg,,,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed,,,
9,1730143121989,28/10/2024 19:18:41,1730128721989,-4,28/10/2024 11:18:41,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,1,Ratings_Practice,Practice Ratings,smykl5,1,info,,9.499999994033715,0,9.499999994033715,9.499999994033715,0,9.499999994033715,1,9.499999994033715,0,0,,Slider,Relaxed Slider,5,object-184,Ratings_Practice,Coffee 1.jpg,,,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed,,,
10,1730143121990,28/10/2024 19:18:41,1730128721990,-4,28/10/2024 11:18:41,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,1,Ratings_Practice,Practice Ratings,smykl5,1,info,,10.09999998807325,0,10.09999998807325,10.09999998807325,0,10.09999998807325,1,10.09999998807325,0,0,,Slider,Gloomy Slider,7,object-186,Ratings_Practice,Coffee 1.jpg,,,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed,,,
11,1730143121991,28/10/2024 19:18:41,1730128721991,-4,28/10/2024 11:18:41,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,1,Ratings_Practice,Practice Ratings,smykl5,1,info,,11.09999998807325,0,11.09999998807325,11.09999998807325,0,11.09999998807325,1,11.09999998807325,0,0,,Slider,Excited Slider,9,object-188,Ratings_Practice,Coffee 1.jpg,,,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed,,,
12,1730143121992,28/10/2024 19:18:41,1730128721992,-4,28/10/2024 11:18:41,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,1,Ratings_Practice,Practice Ratings,smykl5,1,info,,11.999999994033715,0,11.999999994033715,11.999999994033715,0,11.999999994033715,1,11.999999994033715,0,0,,Slider,Happy Slider,11,object-190,Ratings_Practice,Coffee 1.jpg,,,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed,,,
13,1730143121993,28/10/2024 19:18:41,1730128721993,-4,28/10/2024 11:18:41,169297,24,task-6dig,,40959821,TEAM_DEV_306,11959792,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 130.0.0.0,1920x1080,1912x954,,,0,rating-task,17,,Spreadsheet,Spreadsheet,1,Ratings_Practice,Practice Ratings,smykl5,1,info,,12.800000005954644,0,12.800000005954644,12.800000005954644,0,12.800000005954644,1,12.800000005954644,0,0,,Slider,Upset Slider,13,object-192,Ratings_Practice,Coffee 1.jpg,,,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed,,,
